fid,Title,Path,PHOTO_ID,POI_ID,ACTION,MR_PHOTOID,POI_NAME,CATEGORY,SUB_CAT,LANDLINE,MOBILE,MOBILE_1,TOLL_FREE,POI_EMAIL,WEBSITE,SERVICE_TY,IS_EXIST,RE-OPEN DA,DAYS_OF_WO,PARENT_CHI,PARENT_ID,POINT_ADDR,STREET_ROA,SECON_SREE,LOCALITY,SUB_LOCALI,LANDMARK,CITY,POSTCODE,BUILD_LATE,BUILD_LONE,1ST_OPEN,1ST_CLOSE,2ND_OPEN,2ND_CLOSE,FRAME_1,FRAME_2,FRAME_3,REMARKS,COLLECT_ON,COLLECT_DT,PRO_RESOUR,PROD_DATE,TYPE_COLL,A_CATEGORY,A_SUB_CAT,QC_RESOURC,QIL_DMK,FISH_EYE,TRANSLATION_POI,DISPLAY_POI,BRAND_POI,FLOOR_INFO,DISPLAY_LATLON
10164,DCIM\111GOPRO\G0196045.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235848.JPG,IDN_00000235848,,,,WARKOP YUK,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315682952,106.8252268,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.31567002, 106.82529184"
10165,DCIM\111GOPRO\G0196046.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235849.JPG,IDN_00000235849,,,,IRUMAH FASHION,CLOTHING STORE,OTHER,,,,,,,,OPEN,,,PARENT,,NO. 50B,JL. KEBAGUSAN RAYA ,,JAKARTA SELATAN ,,,JAKARTA,12520,-6.315633176,106.8252307,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.31563770, 106.82527168"
10166,DCIM\111GOPRO\G0196047.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235850.JPG,IDN_00000235850,,,,PERTAMINI,PETROL STATION_MINI,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315594389,106.8252392,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.31559439, 106.82528534"
10167,DCIM\111GOPRO\G0196048.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235851.JPG,IDN_00000235851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10168,DCIM\111GOPRO\G0196049.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235852.JPG,IDN_00000235852,,,,BUMAH MAKAN RADANG SIDEMPUAN ,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315556896,106.8252463,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,SIDEMPUAN RAGAD EATING HOUSE,YES,,GROUND FLOOR,"-6.31556789, 106.82529054"
10169,DCIM\111GOPRO\G0196050.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235853.JPG,IDN_00000235853,,,,PRIMA FRESHMART,CONVENIENCE STORE,SUPER MARKET,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315509059,106.8252515,,,,,IDN_00000235852,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.31551164, 106.82529639"
10170,DCIM\111GOPRO\G0196051.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235854.JPG,IDN_00000235854,,,,WARUNG KOPI CHONI ,COFFEE SHOP,,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315468979,106.8252535,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,CHONI COFFEE SHOP,YES,,GROUND FLOOR,"-6.31547027, 106.82529054"
10171,DCIM\111GOPRO\G0196052.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235855.JPG,IDN_00000235855,,,,WARTEG BERKAH ,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.315428254,106.8252561,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,WARTEG BLESSINGS,YES,,GROUND FLOOR,"-6.31543115, 106.82527700"
10172,DCIM\111GOPRO\G0196053.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235856.JPG,IDN_00000235856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10173,DCIM\111GOPRO\G0196054.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000235857.JPG,IDN_00000235857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
